Year,Month,permno,count,Mkt,Mkt+1,eq_return,val_return,Market_return,eq_realreturn,val_realreturn,Market_realreturn,eq_cumreturn,val_cumreturn,Market_cumreturn
1985,1,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,329052889.6,303398188.3,0.112789072,0.085731846,0.0799,1.112789072,1.085731846,1.0799,1.200529198,1.19946514,1.085687416
1985,2,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,326842554.4,329052889.6,0.01181258,0.001212424,0.0122,1.01181258,1.001212424,1.0122,1.214710546,1.2009194,1.098932802
1985,3,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,322653583.4,326842554.4,-0.015697031,-0.012268236,-0.0084,0.984302969,0.987731764,0.9916,1.195643197,1.186186237,1.089701767
1985,4,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,323302404.7,322653583.4,-0.019186911,0.003126754,-0.0096,0.980813089,1.003126754,0.9904,1.172702497,1.18989515,1.07924063
1985,5,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,335626518.7,323302404.7,0.061581853,0.049500978,0.0509,1.061581853,1.049500978,1.0509,1.24491969,1.248796124,1.134173978
1985,6,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,335019208.5,335626518.7,0.006628505,-0.000323978,0.0127,1.006628505,0.999676022,1.0127,1.253171646,1.248391541,1.148577987
1985,7,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,339065527.1,335019208.5,0.016920431,0.013288627,-0.0074,1.016920431,1.013288627,0.9926,1.27437585,1.264980951,1.14007851
1985,8,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,332839410.6,339065527.1,-0.01436626,-0.011621788,-0.0102,0.98563374,0.988378212,0.9898,1.256067836,1.25027961,1.128449709
1985,9,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",72,319095178,332839410.6,-0.052268198,-0.030920283,-0.0454,0.947731802,0.969079717,0.9546,1.190415433,1.211620611,1.077218093
1985,10,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",72,333423282,319095178,0.041238056,0.045783715,0.0402,1.041238056,1.045783715,1.0402,1.239505852,1.267093104,1.12052226
