Year,Month,permno,count,Mkt,Mkt-1,eq_return,val_return
1985,1,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,329052889.6,303398188.3,,
1985,2,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,326842554.4,329052889.6,,
1985,3,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,322653583.4,326842554.4,,
1985,4,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,323302404.7,322653583.4,,
1985,5,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,335626518.7,323302404.7,,
1985,6,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,335019208.5,335626518.7,,
1985,7,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,339065527.1,335019208.5,,
1985,8,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,332839410.6,339065527.1,,
1985,9,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",72,319095178,332839410.6,,
1985,10,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",72,333423282,319095178,,
